epoch,step,train_metric_loss
0,9,10.37194538116455
0,19,8.05075740814209
0,29,6.873918533325195
0,39,4.823042392730713
0,49,4.983343601226807
0,59,2.830278158187866
0,69,2.166433811187744
0,79,2.5740065574645996
0,89,2.3238730430603027
0,99,1.2416770458221436
0,109,0.9986733794212341
0,119,3.7279300689697266
0,129,1.057310938835144
0,139,1.5931155681610107
0,149,0.7458816766738892
0,159,0.9863204956054688
0,169,1.7946913242340088
0,179,2.424139976501465
0,189,1.673163652420044
0,199,0.8104515075683594
0,209,1.072662353515625
0,219,2.1811695098876953
0,229,0.4530860483646393
0,239,2.0977845191955566
0,249,0.3544698655605316
0,259,0.817955493927002
0,269,1.8642990589141846
0,279,0.4082607328891754
0,289,2.2146472930908203
0,299,1.3656694889068604
0,309,0.574407160282135
0,319,0.47409677505493164
0,329,0.3905501365661621
1,339,1.2784299850463867
1,349,2.4593310356140137
1,359,2.3046646118164062
1,369,0.3749596178531647
1,379,0.2715686857700348
1,389,1.6253221035003662
1,399,2.0993919372558594
1,409,1.5477889776229858
1,419,0.6028095483779907
1,429,0.45466381311416626
1,439,2.5971791744232178
1,449,1.160101056098938
1,459,2.932137966156006
1,469,0.7884113788604736
1,479,0.7243738174438477
1,489,0.3380708694458008
1,499,0.25677886605262756
1,509,0.33332785964012146
1,519,1.4721097946166992
1,529,0.2591990530490875
1,539,0.8194432258605957
1,549,1.9305956363677979
1,559,1.584679126739502
1,569,1.4670950174331665
1,579,0.23130078613758087
1,589,1.3883965015411377
1,599,2.3317067623138428
1,609,0.2424774318933487
1,619,0.25710535049438477
1,629,1.0756481885910034
1,639,1.5369000434875488
1,649,0.22459426522254944
1,659,1.951290488243103
1,669,0.5382112264633179
2,679,0.1878376603126526
2,689,1.3696324825286865
2,699,1.7872393131256104
2,709,0.2003769874572754
2,719,0.22485262155532837
2,729,0.20987825095653534
2,739,0.43827351927757263
2,749,0.45669668912887573
2,759,0.20895916223526
2,769,0.7233462333679199
2,779,0.31823599338531494
2,789,0.43006572127342224
2,799,2.899538516998291
2,809,3.4401068687438965
2,819,1.2994835376739502
2,829,0.4546544849872589
2,839,0.19794487953186035
2,849,0.2438707947731018
2,859,1.3510735034942627
2,869,0.18072226643562317
2,879,0.20637677609920502
2,889,1.613830804824829
2,899,1.83063805103302
2,909,0.18535801768302917
2,919,0.19051718711853027
2,929,0.19313381612300873
2,939,0.1758682131767273
2,949,2.637988805770874
2,959,1.0487961769104004
2,969,1.4299650192260742
2,979,2.364452362060547
2,989,0.25333070755004883
2,999,0.7269097566604614
2,1009,0.6642053127288818
3,1019,2.699843406677246
3,1029,0.2461942732334137
3,1039,0.46235325932502747
3,1049,0.30085182189941406
3,1059,1.4414699077606201
3,1069,0.16098663210868835
3,1079,0.26579320430755615
3,1089,0.8430655002593994
3,1099,1.091402530670166
3,1109,0.23179402947425842
3,1119,0.6466532945632935
3,1129,0.3798835575580597
3,1139,0.40280166268348694
3,1149,0.25843316316604614
3,1159,0.7352656126022339
3,1169,1.0944175720214844
3,1179,0.9647769331932068
3,1189,0.20561005175113678
3,1199,0.1821805089712143
3,1209,0.28973373770713806
3,1219,4.426431655883789
3,1229,0.20981447398662567
3,1239,0.6429495811462402
3,1249,0.7963576316833496
3,1259,1.6657958030700684
3,1269,0.89275062084198
3,1279,2.1175827980041504
3,1289,0.16684512794017792
3,1299,1.8769716024398804
3,1309,0.23432320356369019
