epoch,step,train_acc,train_loss,val_acc,val_loss
0,9,0.203125,2.2917778491973877,,
0,19,0.375,2.206540822982788,,
0,29,0.25,2.1524147987365723,,
0,39,0.453125,2.0578315258026123,,
0,49,0.4375,1.982192873954773,,
0,59,0.40625,1.9879088401794434,,
0,69,0.4375,1.9028269052505493,,
0,79,0.5,1.8064093589782715,,
0,89,0.515625,1.7653028964996338,,
0,99,0.625,1.5746458768844604,,
0,109,0.640625,1.5770753622055054,,
0,119,0.671875,1.5002459287643433,,
0,129,0.625,1.4986478090286255,,
0,139,0.53125,1.481040120124817,,
0,149,0.65625,1.4421755075454712,,
0,159,0.59375,1.4563450813293457,,
0,169,0.6875,1.3324840068817139,,
0,179,0.71875,1.1759306192398071,,
0,189,0.65625,1.2626384496688843,,
0,199,0.65625,1.1638209819793701,,
0,209,0.6875,1.1493451595306396,,
0,219,0.828125,0.9504001140594482,,
0,229,0.84375,1.0104243755340576,,
0,239,0.796875,0.9814583659172058,,
0,249,0.9375,0.8559443950653076,,
0,259,0.859375,0.8007136583328247,,
0,269,0.875,0.7924838662147522,,
0,279,0.90625,0.7036630511283875,,
0,289,0.875,0.7562583088874817,,
0,299,0.78125,0.767819881439209,,
0,309,0.96875,0.5529901385307312,,
0,319,0.953125,0.5892372727394104,,
0,329,0.953125,0.5166960954666138,,
0,336,,,0.9551851749420166,0.5155648589134216
1,339,0.921875,0.5181065797805786,,
1,349,0.921875,0.5402669906616211,,
1,359,0.90625,0.5652795433998108,,
1,369,0.921875,0.5118152499198914,,
1,379,0.96875,0.4286806881427765,,
1,389,0.921875,0.4773204028606415,,
1,399,0.9375,0.5115846991539001,,
1,409,0.96875,0.3235757648944855,,
1,419,0.953125,0.35605746507644653,,
1,429,0.984375,0.31558355689048767,,
1,439,0.921875,0.46951374411582947,,
1,449,0.984375,0.2902803421020508,,
1,459,0.984375,0.24625249207019806,,
1,469,0.96875,0.3528873026371002,,
1,479,0.921875,0.39816489815711975,,
1,489,0.984375,0.2230873852968216,,
1,499,0.984375,0.2275214046239853,,
1,509,1.0,0.19611844420433044,,
1,519,0.90625,0.35890334844589233,,
1,529,0.96875,0.22646066546440125,,
1,539,0.96875,0.21139036118984222,,
1,549,0.984375,0.16839878261089325,,
1,559,0.96875,0.27436259388923645,,
1,569,0.984375,0.2159038782119751,,
1,579,0.96875,0.25132131576538086,,
1,589,0.953125,0.2960505485534668,,
1,599,0.953125,0.23873186111450195,,
1,609,0.9375,0.2785193622112274,,
1,619,0.984375,0.1415024995803833,,
1,629,0.984375,0.165459543466568,,
1,639,0.953125,0.17005768418312073,,
1,649,0.984375,0.13127033412456512,,
1,659,0.953125,0.15445838868618011,,
1,669,0.9375,0.20565353333950043,,
1,673,,,0.9916666746139526,0.11746609210968018
2,679,0.96875,0.1855485886335373,,
2,689,1.0,0.09369708597660065,,
2,699,0.953125,0.17852212488651276,,
2,709,0.96875,0.13014906644821167,,
2,719,1.0,0.08211317658424377,,
2,729,0.984375,0.1262221783399582,,
2,739,0.984375,0.13588623702526093,,
2,749,0.984375,0.09754237532615662,,
2,759,0.953125,0.21453668177127838,,
2,769,0.984375,0.13893048465251923,,
2,779,1.0,0.0780397430062294,,
2,789,0.984375,0.10006063431501389,,
2,799,0.984375,0.10380194336175919,,
2,809,0.984375,0.10234881192445755,,
2,819,1.0,0.07259170711040497,,
2,829,0.984375,0.09033077955245972,,
2,839,0.96875,0.11166983842849731,,
2,849,0.984375,0.08742072433233261,,
2,859,0.96875,0.11199422180652618,,
2,869,0.953125,0.21615423262119293,,
2,879,0.984375,0.07484813779592514,,
2,889,1.0,0.0577847957611084,,
2,899,1.0,0.06317926198244095,,
2,909,0.984375,0.13281209766864777,,
2,919,0.984375,0.1300632208585739,,
2,929,1.0,0.0529949888586998,,
2,939,0.96875,0.1254216432571411,,
2,949,1.0,0.0494811050593853,,
2,959,0.984375,0.09660383313894272,,
2,969,0.96875,0.13672444224357605,,
2,979,1.0,0.0653885081410408,,
2,989,0.984375,0.07654287666082382,,
2,999,0.9375,0.154606893658638,,
2,1009,1.0,0.058178406208753586,,
2,1010,,,0.9979629516601562,0.048373639583587646
